codigo;numeracion;denominacion;precio
148;5102230-1;CABLE FLEXIBLE UNIP.H07V-K 4 MM2 MARRON;4
149;5102235-1;CABLE CONEXION PULSADORES PISO ARCA II L=70;4
150;5102235-2;CABLE CONEXION PULSADORES PISO ARCA II L=200;5
151;5102236-1;CABLE ADAPTADOR CONECTOR-REGLETA;8
152;5102237-1;CABLE CONVERSOR PULSADOR LLAVE PISO;9
153;5102239-1;CABLE CONEXION PULSADORES PISO;5
154;5102252-1;CABLE CONEXION SEÑAL DE ALARMA CUADRO CABINA ARCA;2
155;5102261-1;CABLE TRENZADO CON FUNDA 4X0,22MM2 (FC);28
156;5102279-1;CABLE CONEXION PLACA TELESERVICIO;19
157;5102280-1;CABLE CONEXION PLACAS DE BOTONERA (BUS);4
158;5102283-1;CABLE CONEXION PULSADORES ARCA;5
159;5102284-1;CABLE CONEXION PLACAS DE BOTONERA;4
160;5102294-1;CABLE CONEXION GONG DE PISO ARCA;8
161;5102329-1;CONEXION CORTA PARACAIDAS L=150;4
162;5102339-1;CABLE CONEXION ENCODER MOTOR G01/G02 L=2,5;87
163;5102339-2;CABLE CONEXION ENCODER MOTOR MAQUINA G02 L=5,5;109
164;5102343-1;CABLE CONEXION PULSADOR OR02 L=0,8 MTS.;5
165;5102343-2;CABLE CONEXION PULSADOR ALARMA OR02 L=1.5MT;7
166;5102345-1;CABLE CONEXION LUZ EMERG./SOBRECARGA OR02;5
167;5102348-12;CABLE CONEXION ILUMINACION 12 CONECTORES OR02;104
168;5102351-1;CONEXION UTP CATEGORIA 5 (RJ-45) LONG=5;38
169;5102352-1;CONEXION UTP CATEGORIA 5 (RJ-45) L=10;24
170;5102376-1;ADAPTADOR HC-PHOENIX-AMP;49
171;5102377-1;ADAPTADOR HC-PC L=1500;42
172;5102381-1;CABLE CONEXION VENTILADOR/ILUMINACION L=70;7
173;5102386-1;CABLE CONEXION INDICADOR POSICION (ARCA II) OR02;9
174;5102387-1;CABLE CONEXION INTERRUPTOR SIN REGISTRO (ARCA II) OR02;6
175;5102388-1;CABLE CONEXION PL.EXTENS. N=1 (ARCA II) OR02;4
176;5102388-5;CABLE CONEXION PLACA EXTENSION N=5 (ARCA II) OR02;21
177;5102426-1;CONEXION ENCODER MOTOR SINCRONO ARCA II;87
178;5102428-1;CONEXION PLACA TELESERVICIO ARCA;48
179;5102439-1;CABLE CONEXION SISTEMA RESCATE M322-2004;56
180;5102445-1;CONEXION GUIAS A TIERRA L=4;7
181;5102461-1;CONEXION ENCODER MOTOR ASINCRONO SP;876
182;5102510-1;CONJ. ENCODER MOTOR CONTROL TECHNIQUES;990
183;5102510-1;CONJUNTO ENCODER MOTOR CONTROL TECHNIQUES;1444
184;5102519-1;CABLE CONEXION TELESERV.CON PDCC ALIMEN.PLACA TELESERVICIO;5
185;5102520-1;CABLE CONEXION PLACA PAT C/PDCC LINEA TELESERVICIO+ALAR+ALIM;59
186;5102521-1;CONECTOR PUENTE ALIMENTACION ALARMA S/TELESERVICIO;7
187;5102522-1;CONVERSOR DE 2 POLOS PASO DE 5,08 A 2,54;11
188;5102523-1;CONVERSOR DE 4 POLOS PASO DE 5,08 A 2,54;18
189;5102524-1;CONVERSOR DE 6 POLOS PASO DE 5,08 A 2,54;25
190;5102538-1;CABLE TRANSMISION DATOS RJ 45(FC);5
191;5102538-2;CABLE TRANSMISION DATOS RJ 45(FC);8
192;5102539-1;CABLE HC (FC);51
193;5102544-1;CABLE CONEXION ENCODER MOTOR OMRON L=0,6;94
194;5102561-1;CABLE CONEXION BUS CAN PPQ;19
195;5102580-1;CABLE CONEXION MOTORREDUCTORES 5.2m;50
196;5102603-1;ADAPTADOR CONECT.PASO 2,54 HEMB.5 POL.MACH.2 POLOS;12
197;5102604-1;ADAPTADOR CONECT.PASO 2,54 2 POL.PASO 5,08 3 POLOS;18
198;5102691-1;CABLE CONEXION PULSADORES DMG KAVA C/RETOR L=110;32
199;5102691-2;CABLE CONEXION PULSADORES DMG KAVA C/RETOR L=1500;35
200;5102707-1;CONEXION GUIAS A TIERRA L=6;16
201;5102707-2;CONEXION GUIAS A TIERRA L=12;30
202;5102708-1;CONEXION GUIAS A TIERRA L=10;24
203;5102708-2;CONEXION GUIAS A TIERRA L=10;25
204;5102711-1;CONVERSOR PARA J2 GATEWAY;59
205;5102716-1;CONVERSOR J2/J9/J11 TELESERVICIO 2005 L=300;48
206;5102749-1;CABLE CONEXION LSB SINTESIS VOZ 2005 PARA ARCA;27
207;5104001-1;CONDENSADOR ELEC.RADIAL 2200UF 100V (FH);24
208;5104003-1;CONDENSADOR ELEC.RADIAL 1000UF 100V (FH);29
209;5104005-1;CONDENSADOR ELEC.RADIAL 680UF 100V (FH);11
210;5104007-1;CONDEN. 15nF 630V CONT. TECH, Part Nº: 9500-0083;145
211;5104067-1;CONDENSADOR ELECTROLIT.AXIAL 25UF 200V.;2
212;5104095-1;CONDENSADOR DE ALTERNA 2UF 400/450V (FH);27
213;5104096-1;CONDENSADOR DE ALTERNA 1UF 400V (FC);12
214;5104111-1;MODULO RC 0,47UF/220 OHM.-250V AC.(FC);4
215;5105015-1;REGLETA DE CONEXION 12 BORNAS 6 MM2 COLOR NEGRO(FC;3
216;5105018-1;REGLETA DE CONEXION 12 BORNAS 10 mm2 COLOR NEGRO;6
217;5105020-1;ADAPTADOR DB9 HEMBRA-HEMBRA;12
218;5105049-1;CONECTOR MACHO PHOENIX REF.UMSTBVK 2,5/12 G-5,08;8
219;5105218-1;CONECTOR HEMBRA HZ PASO 5,08 2 5 POLOS (FH);2
220;5105219-1;CONECTOR HEMBRA HZ PASO 5,08 2 7 POLOS (FH);3
221;5105220-1;CONECTOR HEMBRA HZ PASO 5,08 2 3 POLOS (FH);1
222;5105224-1;CONECTOR HEMBRA HZ PASO 5,08 2 4 POLOS (FH);2
223;5105225-1;CONECTOR HEMBRA HZ PASO 5,08 2 POLOS (FH);1
224;5105300-1;CONECTOR HEMBRA MINI 4 POLOS (FC);2
225;5105301-1;CONECTOR HEMBRA VERTICAL 7 POLOS PASO 5,08 (FC);3
226;5105303-1;CONECTOR HEMBRA VERTICAL 2 POLOS PASO 5,08 (FC);1
227;5105304-1;CONECTOR HEMBRA VERTICAL 3 POLOS PASO 5,08 (FC);1
228;5105305-1;CONECTOR HEMBRA VERTICAL 4 POLOS PASO 5,08 (FC);2
229;5105305-1;CONECTOR HEMBRA VERTICAL 4 POLOS PASO 5,08 (FC);2
230;5105306-1;CONECTOR HEMBRA VERTICAL 5 POLOS PASO 5,08 (FC);2
231;5105307-1;CONECTOR HEMBRA VERTICAL 9 POLOS PASO 5,08 (FC);3
232;5105308-1;CONECTOR HEMBRA VERTICAL 2 POLOS PASO 7,62 (FC);1
233;5105309-1;CONECTOR HEMBRA VERTICAL 3 POLOS PASO 7,62 (FC);2
234;5105309-1;CONECTOR HEMBRA VERTICAL 3 POLOS PASO 7,62 (FC);2
235;5105310-1;CONECTOR HEMBRA VERTICAL 4 POLOS PASO 7,62 (FC);2
236;5105311-1;CONECTOR HEMBRA VERTICAL 5 POLOS PASO 7,62 (FC);3
237;5105312-1;CONECTOR HEMBRA VERTICAL 6 POLOS PASO 7,62 (FC);3
238;5105313-1;CONECTOR HEMBRA VERTICAL 7 POLOS PASO 7,62 (FC);5
239;5105313-1;CONECTOR HEMBRA VERTICAL 7 POLOS PASO 7,62 (FC);4
240;5105314-1;CONECTOR HEMBRA VERTICAL 11 POLOS PASO 7,62 (FC);3
241;5105316-1;CONECTOR HEMBRA VERTICAL 12 POLOS PASO 5,08 (FC);5
242;5105317-1;CONECTOR HEMBRA HORIZONTAL 15 POLOS PASO 5;11
243;5105318-1;CONECTOR HEMBRA VERTICAL 10 POLOS PASO 5,08 (FC);4
244;5105319-1;CONECTOR HEMBRA VERTICAL 6 POLOS PASO 5,08 (FC);2
245;5105320-1;CONECTOR HEMBRA DERIVACION 3 POLOS WAGO 730-103;10
246;5105321-1;CONECTOR MACHO DERIVACION 3 POLOS WAGO 730-113;9
247;5105322-1;CONECTOR HEMBRA CABLE PLANO 4 POLOS PASO 2,54 (FC);1
248;5105323-1;CONECTOR HEMBRA VERTICAL 8 POLOS PASO 5,08 (FC);3
249;5105326-1;CONECTOR HEMBRA HORIZONTAL 5 POLOS PASO 7,62 (FC);3
250;5105329-1;PIEZA CIEGA PHOENIX REF. MSTB-BL;1
251;5105334-1;CONECTOR HEMBRA VERTICAL 8 POLOS PASO 7,62 (FC);4
252;5105335-1;CONECTOR HEMBRA VERTICAL 9 POLOS PASO 7,62 (FC);5
253;5105342-7;CONECTOR 7 POLOS PHOENIX UMSTBVK 2,5/7-G-5,08 (FC);5
254;5105346-6;CONECTOR HEMBRA VERTICAL 6 POLOS PASO 3,81 (FC);2
255;5105346-2;CONECTOR HEMBRA VERTICAL 2 POLOS PASO 3,81 (FC);1
256;5105346-6;CONECTOR HEMBRA VERTICAL 6 POLOS PASO 3,81 (FC);3
257;5110054-1;FINAL DE CARRERA (FH);54
258;5110085-1;CAPTADOR ORONA DE POSICION;288
259;5110086-1;CAPTADOR ORONA OR4 2 CONTACTOS ABIERTOS;222
260;5110087-1;CAPTADOR ORONA DE POSICION ORS1;350
261;5110093-1;INTERRUPTOR FINAL DE CARRERA D4N OMRON;46
262;5110095-1;FINAL DE CARRERA OMRON D4N1A2H;60
263;5110102-1;INTERRUPTORES MAGNETICOS CO/CU CON CONECTOR;100
264;5110103-1;INTERRUPTORES MAGNETICOS CB/CS CON CONECTOR;75
265;5110105-1;IMAN PERMANENTE PLASTICO STEM REFERENCIA MP P150 015 006  15 CM;3
266;5110106-1;IMAN PERMANENTE PLASTICO STEM REFERENCIA MP D080 020 006  CU/CO;3
267;5110107-1;IMAN PERMANENTE PLASTICO 300X15X6 (FC) 30cm;7
268;5110108-1;SENSOR MAGNETICO STEM REF.C12G B3 BF ZA01 (CU);40
269;5110117-1;IMAN PERMANENTE PLASTICO STEM REFERENCIA MP P015 015 008V 1 CM;2
270;5110119-1;IMAN PERMANENTE PLASTICO 75X15X6 (FC)  7 CM;7
271;5110126-1;INTERRUPTORES MAGNETICOS CDA CON CONECTOR;43
272;5110127-1;INTERRUPTORES MAGNETICOS CDB CON CONECTOR;47
273;5110128-1;INTERRUPTORES MAGNETICOS CSB C;50
274;5110131-1;IMAN PERMANENTE PLASTICO STEM MF A020 004 010 (FC);1
275;5110132-1;IMAN PERMANENTE PLASTICO 120X15X6 (FC);2
276;5111016-1;CONJ. LED LIGHTING PANEL 200*220MM 14W 6000K;167
277;5111145-1;"""""""POTENCIOMETRO ILUMINACION DE CABINA """"""""EP""""""""(FC)""""""";37
278;5113041-1;LAMPARA USA PSB DE 24V;9
279;5113050-1;PILOTO SCHAEFFER MA 42 M VII, LED 30V BOMBERo GR. LASER;67
280;5113050-2;PIL SCH MA 42 M VII,LED 30 V.ANUL.EXTER.GR. LASER;63
281;5113052-1;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""1"""""""" BRAILLE""""""";61
282;5113052-10;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""10"""""""" BRAILLE""""""";61
283;5113052-11;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""11"""""""" BRAILLE""""""";61
284;5113052-12;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""12"""""""" BRAILLE""""""";61
285;5113052-13;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""13"""""""" BRAILLE""""""";61
286;5113052-14;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""14"""""""" BRAILLE""""""";61
287;5113052-15;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""15"""""""" BRAILLE""""""";61
288;5113052-16;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""16"""""""" BRAILLE""""""";61
289;5113052-17;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""17"""""""" BRAILLE""""""";61
290;5113052-18;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""18"""""""" BRAILLE""""""";61
291;5113052-19;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""19"""""""" BRAILLE""""""";61
292;5113052-2;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""2"""""""" BRAILLE""""""";61
293;5113052-20;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""20"""""""" BRAILLE""""""";61
294;5113052-21;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""21"""""""" BRAILLE""""""";66
295;5113052-22;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""22"""""""" BRAILLE""""""";66
296;5113052-23;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""23"""""""" BRAILLE""""""";66
297;5113052-24;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""24"""""""" BRAILLE""""""";66
298;5113052-25;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""25"""""""" BRAILLE""""""";66
299;5113052-26;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""26"""""""" BRAILLE""""""";66
300;5113052-27;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""27"""""""" BRAILLE""""""";66
301;5113052-28;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""28"""""""" BRAILLE""""""";66
302;5113052-29;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""29"""""""" BRAILLE""""""";66
303;5113052-3;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""3"""""""" BRAILLE""""""";61
304;5113052-30;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""30"""""""" BRAILLE""""""";66
305;5113052-31;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""31"""""""" BRAILLE""""""";66
306;5113052-32;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""32"""""""" BRAILLE""""""";66
307;5113052-33;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""33"""""""" BRAILLE""""""";66
308;5113052-34;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""34"""""""" BRAILLE""""""";66
309;5113052-35;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""35"""""""" BRAILLE""""""";66
310;5113052-36;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""36"""""""" BRAILLE""""""";66
311;5113052-37;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""37"""""""" BRAILLE""""""";66
312;5113052-38;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""38"""""""" BRAILLE""""""";66
313;5113052-39;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""39"""""""" BRAILLE""""""";66
314;5113052-4;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""4"""""""" BRAILLE""""""";61
315;5113052-40;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""0"""""""" BRAILLE""""""";61
316;5113052-41;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""-1"""""""" BRAILLE""""""";61
317;5113052-42;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""-2"""""""" BRAILLE""""""";61
318;5113052-43;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""-3"""""""" BRAILLE""""""";61
319;5113052-44;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""-4"""""""" BRAILLE""""""";61
320;5113052-5;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""5"""""""" BRAILLE""""""";61
321;5113052-50;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""B"""""""" BRAILLE""""""";61
322;5113052-51;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""E"""""""" BRAILLE""""""";61
