codigo;numeracion;denominacion;VENTA UNIDAD
26;1466133-1;PLACA DE EMPALME DE GUIAS T-90(FC);16
27;1466134-1;PLACA DE EMPALME DE GUIAS T-125(FC);37
28;1466136-1;GRUPO FIJACION PLACA DE EMPALME T-50(FC);2
29;1466137-1;GRUPO FIJACION PLACA DE EMPALME T=70;5
30;1466138-1;GRUPO FIJACION PLACA DE EMPALME T-120(FC);12
31;1990486-1;CONJUNTO MOTOR TECHO CORTO EN81.21;735
32;2184034-2;PERFIL ZOCALO CABINA TDS LONGITUD=3200;6
33;250016-1;PUERTAS RELLANO CENTRAL 2H. ME COMPACT NO MRL;720
34;3280010-1;BRIDA DE CHAPA SL-1;1
35;3280011-1;BRIDA DE CHAPA SL-2;2
36;3280012-1;BRIDA DE CHAPA SL-3 (FC);3
37;3301062-1;SOPORTE PASAMANOS INOXIDABLE PINTADO IZQUIERDO OR02;32
38;3301062-2;SOPORTE PASAMANOS INOXIDABLE CROMADO IZDO.OR02;100
39;3301062-3;SOPORTE PASAMANOS INOXIDABLE PINTADO DCHO.OR02;42
40;3301062-4;SOPORTE PASAMANOS INOXIDABLE CROMADO DCHO.OR02;31
41;3301100-1;PLACA DE SEÑALIZACION ORONA_96;18
42;3301101-1;PLACA ZAMAK R.A.E. Y Kg /PERSONAS;9
43;3301103-1;PLACA CIEGA CABINA MD-15;0
44;3301105-1;PULSANTE DE CABINA;2
45;3301107-1;PULSADOR METAL.DE CABINA CON HALO;5
46;3301109-75;"""""""CUERPO PULSADOR CABINA """"""""SIN INSCRIPC."""""""" """"""";4
47;3301109-71;CUERPO PULSADOR CABINA }APERTURA PUERTA };5
48;3301110-1;MARCO BOTONERA PISO 2 PULSADORES;15
49;3301111-1;MARCO BOT.PISO 1 PULSADOR;19
50;3301117-1;PULSANTE CABINA PARA LLAVE;2
51;3401101-1;CASQUILLO SELFOIL B-10-14-10/18-2;1
52;3401103-1;CASQUILLO SELFOIL A-10-15-10;3
53;3401105-1;CASQUILLO SELFOIL B-14-20-20/25-3;5
54;4101037-1;REPUESTO ENCODER SM225.60B - SM250.60B(FC);1812
55;4101093-1;ROTOR-ESTAT.10CV.180C/H.1800 RPM.60HZ.220/380 (FC);3284
56;4101100-1;ROTOR-ESTATOR 7,5CV 90 CONEXIONES/HORA VENTILACION PROPIA;2757
57;4101101-1;ROTOR-ESTATOR 10CV 90 C/H.VEN.PROPIO(FC);2941
58;4101102-1;Encoder de eje cónico para máquina gearless(FC);503
59;4101103-1;ROTOR-ESTATOR 7,5CV 180 CONEXIONES/HORA VENTILACION AUXILIAR;3036
60;4101104-1;ROTOR-ESTATOR 10CV 180CONEXIONES/HORA VENTILACION AUXILIAR;3219
61;4101114-1;ROTOR-ESTATOR 10 CV 180 CONEXIONES/HORA M321 (FC);4708
62;4101131-1;ENCODER MAQUINA GEARLESS (FC);971
63;4101154-1;MODULO TIRISTORES SEMIKRON SKK7 57/12E;554
64;4101155-1;MODULO DE DIODOS SEMIKRON SKKD 81/12;692
65;4101156-1;ENCODER MAQUINA O-170 ORONA V3F (FC);634
66;4101157-1;ACOPLAMIENTO FLEXIBLE D.6-D.6,SERIE 5801(FC);159
67;4101159-1;ENCODER MAQUINA O-140 V3F/LC (FC);634
68;4101200-1;MOTO-VENTILADOR O-130/O-170 TIPO:VA-132/60M57.47.051;1167
69;4101201-1;MOTO VENTILADOR O-170 TIPO:VA-180/60M57,47.052;1333
70;4101203-1;MOTO-VENTILADOR VMC 12 220V 50 Hz REIVAJ;789
71;4101205-1;TERMOCONTACTO 06.30.158;87
72;4101210-1;ROTOR MOTOR O-170 10 HP REIVAJ;357
73;4104006-1;ROTOR-ESTATOR VF 4,5CV 90CONEXIONES/HORA 220/380 (FC);3087
74;4104018-1;ROTOR-ESTATOR 5,5CV 90CONEXIONES/HORA 230/400 (FC);2354
75;4104019-1;ROTOR-ESTATOR 5,5CV 180CONEXIONES/HORA 230/400 (FC);2619
76;4104046-1;ROTOR-ESTATOR 7,5 CV 90 CONEXIONES/HORA 230/400 (FC);2531
77;4104071-1;ROTOR-ESTATOR VF 7,5 CV 5,5 KW.180CONEXIONES/HORA 220/380 (FC);3015
78;4104090-1;VENTILADOR ALUMINIO MAQUINA O-130 1 V.;253
79;4104091-1;VENTILADOR ALUMINIO MAQUINA O-130 2 VELOCIDADES;419
80;4104092-1;VENTILADOR MOTOR LANCOR 4,5 CV MOD.ANTI.;492
81;4104095-1;TAPA VENTILADOR LANCOR 4,5 CV;38
82;4104096-1;ESCOBILLAS MOTOR Y GENERA.ROTOS 12X24X35;384
83;4104097-1;ROTOR MOTOR LANCOR 5,5 CV O-130 2 VEL.;1114
84;4104098-1;ROTOR MOTOR LANCOR 4,5 CV O-130 1 VEL.;808
85;4104104-1;KIT VENTILACION FORZADA 220/230V (REIVAJ) (FC);559
86;4104106-1;KIT VENTILACION FORZADA 380/400V (LANCOR) (FC);1032
87;4104107-1;KIT VENTILACION FORZADA 220/230V (LANCOR) (FC);897
88;4104108-1;KIT VENTILACION FORZADA 220/230V.O-130(C.E.G) (FC);412
89;4104109-1;KIT VENTILACION FORZADA 220/230V.O-170(C.E.G) (FC);449
90;4104110-1;RESISTOR (TERMISTOR) STM 150 DK (LANCOR-LASA);19
91;4104113-1;MOTOR M322 2V.4 CV.230/400V.50HZ.(FC);2487
92;4104113-2;MOTOR M322 2VELOCIDADES 5,5 CV 230/400V 50Hz (FC);2686
93;4104113-3;MOTOR M322 2V.7,5 CV.230/400V.50HZ.(FC);2951
94;4104113-5;MOTOR M322 2V.5,5 CV.240/415V.50HZ.(FC);2608
95;4104113-6;MOTOR M322 2V.7,5 CV.240/415V.50HZ.(FC);3004
96;4104120-2;MOTOR 5,5CV 230/400 M322 (FC);2389
97;4110010-1;MOTOR MONOF.220V 4,1 KG/CM I=0,3 A 50HZ;439
98;4110023-1;MOTOR 14KG/CM 220/380V CC/CD-890 (FH);1203
99;4291001-1;BOTE DE LOCTITE N 638;161
100;4291011-1;LOCTITE 273 FIJATORNILLO 250GR;935
101;4316094-1;CIRIKEM 25 LIMPIADOR DESENGRASANTE;15
102;4322128-1;KIT ELÉCTRICO PARA CONSERVACIÓN (ESPAÑOL);269
103;469012-3;CUADRO MANIOBRA PRINCIPAL ARCA II;1365
104;469013-1;CUADRO DE POTENCIA CON SALA DE MAQUINA ARCA II;3526
105;5101008-1;ELECTROIMAN LINEAL DE SIMPLE EFECTO ER60-05/C(FC);272
106;5101011-1;GRUPO BOBINA ELECTROIMAN G-556 60V. C.C.;794
107;5101014-1;BOBINA LEVA ELECTR.;337
108;5101015-1;BOBINA LEVA ELECTR.;104
109;5101016-1;BOBINA LEVA ELECT.60V/0,55D./3150ESPIRAS;111
110;5101017-1;BOBINA CUQA RETRACT.GERVALL T-612 V 65CC;353
111;5101018-1;BOBINA ELECTROFRENO SICOR ELT0015 (V200 MR35);9387
112;5101025-1;BOBINA TELEMECANICA LX1 D16 110 V;47
113;5101027-1;BOBINA TELEMECANICA LX1 D09 380 V;37
114;5101028-1;BOBINA TELEMECANICA LX1 D09 380/440 V;30
115;5101029-1;BOBINA TELEMECANICA LX1 D09 24 V;84
116;5101031-1;BOBINA TELEMECANICA LX1 D25 380/400 V;116
117;5101032-1;BOBINA TELEMECANICA LX1 D09 110 F;65
118;5101033-1;BOBINA TELEMECANICA LX1 D25 110 F;33
119;5101034-1;BOBINA TELEMECANICA LX6 D40 110 F;187
120;5101035-1;BOBINA TELEMECANICA LX6 D40 110 V 50 H.;114
121;5101036-1;BOBINA TELEMECANICA LX6 D40 220 V 50 H.;216
122;5101040-1;BOBINA SELECTOR SIL CS 60V;122
123;5102006-1;CABLE FLEX.UNIP.H07V-K 10 M/M2 NEGRO;7
124;5102010-1;CONEXION DOBLE MICROFONO-ALTAVOZ PICTOGRAMAS;38
125;5102020-1;CABLE FLEX.UNIP.H07V-K AMA-VERDE 10 M/M2;7
126;5102070-1;CABLE MULTIPLE DO.CAPA 12X0,75 H05VVH6-F;8
127;5102071-1;CABLE MULTIPLE DO.CAPA 14X0,75 H05VVH6-F;10
128;5102073-1;CABLE MULTIPLE DO.CAPA 20X0,75 H05VVH6-F;14
129;5102125-1;CABLE FLEXI.UNIP.H07V-K 2,5 M/M2 AZUL;2
130;5102138-1;CONEXION ILUMINACION MANGUERA INICIAL L=2;14
131;5102139-2;MANGUERA CONEXION ILUMINACION L=0,6;5
132;5102148-1;CONEXION ILUMI.CABLE-PORTALAMPARAS HALOGENAS O LED;10
133;5102154-1;LAMPARA CFL GX0 109i MEGAMAN 9W 230/240V BASE GX53;71
134;5102156-1;TERMINAL DESNUDO TUBULAR 10MM2/TORNI.M6 (FC);0
135;5102170-1;MANGUITO PREAISLADO ROJO AMP REFERENCIA 34070;0
136;5102171-1;TERM.PREAIS.ROJ.FAST.HEMBRA 6,35X0,8AMP;1
137;5102175-1;TERMI.PREAIS.AZUL FASTON HEMBRA 6,35X0,8 EF 25063;0
138;5102178-1;TERMINALES BURNDY REFERENCIA FFYG25;1
139;5102183-1;CABLE CONEX CABINA PRESENTE 85 MM;7
140;5102183-2;CABLE CONEX CABINA PRESENTE 1500 MM;8
141;5102185-1;CABLE CONEXION TELESERV.CON PDCC LINEA TELEF.+ALARMA;9
142;5102186-1;CABLE CONEXION TELESERV.CON PDCC LINEA BUS CAN;6
143;5102192-1;TERM.REDOND.PREAIS.AZUL BORNAJE 5MM.(FH);0
144;5102195-1;TERMINAL AMP LENGUE.2,8X0,5 REFERENCIA 140821-1;0
145;5102201-1;TERMINAL OTTO RATING REFERENCIA 7796.0004;0
146;5102206-1;TERMINAL EMPALME ROJO 0,5-0,75 MM2 AMP 735410-0;1
147;5102207-1;TERMINAL EMPALME AZUL 1-2,5 MM2 AMP 735398-0;1
148;5102230-1;CABLE FLEXIBLE UNIP.H07V-K 4 MM2 MARRON;3
149;5102235-1;CABLE CONEXION PULSADORES PISO ARCA II L=70;3
150;5102235-2;CABLE CONEXION PULSADORES PISO ARCA II L=200;4
151;5102236-1;CABLE ADAPTADOR CONECTOR-REGLETA;7
152;5102237-1;CABLE CONVERSOR PULSADOR LLAVE PISO;8
153;5102239-1;CABLE CONEXION PULSADORES PISO;4
154;5102252-1;CABLE CONEXION SEÑAL DE ALARMA CUADRO CABINA ARCA;2
155;5102261-1;CABLE TRENZADO CON FUNDA 4X0,22MM2 (FC);23
156;5102279-1;CABLE CONEXION PLACA TELESERVICIO;15
157;5102280-1;CABLE CONEXION PLACAS DE BOTONERA (BUS);3
158;5102283-1;CABLE CONEXION PULSADORES ARCA;4
159;5102284-1;CABLE CONEXION PLACAS DE BOTONERA;3
160;5102294-1;CABLE CONEXION GONG DE PISO ARCA;6
161;5102329-1;CONEXION CORTA PARACAIDAS L=150;3
162;5102339-1;CABLE CONEXION ENCODER MOTOR G01/G02 L=2,5;69
163;5102339-2;CABLE CONEXION ENCODER MOTOR MAQUINA G02 L=5,5;87
164;5102343-1;CABLE CONEXION PULSADOR OR02 L=0,8 MTS.;4
165;5102343-2;CABLE CONEXION PULSADOR ALARMA OR02 L=1.5MT;5
166;5102345-1;CABLE CONEXION LUZ EMERG./SOBRECARGA OR02;4
167;5102348-12;CABLE CONEXION ILUMINACION 12 CONECTORES OR02;83
168;5102351-1;CONEXION UTP CATEGORIA 5 (RJ-45) LONG=5;31
169;5102352-1;CONEXION UTP CATEGORIA 5 (RJ-45) L=10;19
170;5102376-1;ADAPTADOR HC-PHOENIX-AMP;39
171;5102377-1;ADAPTADOR HC-PC L=1500;34
172;5102381-1;CABLE CONEXION VENTILADOR/ILUMINACION L=70;5
173;5102386-1;CABLE CONEXION INDICADOR POSICION (ARCA II) OR02;7
174;5102387-1;CABLE CONEXION INTERRUPTOR SIN REGISTRO (ARCA II) OR02;5
175;5102388-1;CABLE CONEXION PL.EXTENS. N=1 (ARCA II) OR02;3
176;5102388-5;CABLE CONEXION PLACA EXTENSION N=5 (ARCA II) OR02;17
177;5102426-1;CONEXION ENCODER MOTOR SINCRONO ARCA II;70
178;5102428-1;CONEXION PLACA TELESERVICIO ARCA;38
179;5102439-1;CABLE CONEXION SISTEMA RESCATE M322-2004;45
180;5102445-1;CONEXION GUIAS A TIERRA L=4;5
181;5102461-1;CONEXION ENCODER MOTOR ASINCRONO SP;701
182;5102510-1;CONJ. ENCODER MOTOR CONTROL TECHNIQUES;792
183;5102510-1;CONJUNTO ENCODER MOTOR CONTROL TECHNIQUES;1155
184;5102519-1;CABLE CONEXION TELESERV.CON PDCC ALIMEN.PLACA TELESERVICIO;4
185;5102520-1;CABLE CONEXION PLACA PAT C/PDCC LINEA TELESERVICIO+ALAR+ALIM;47
186;5102521-1;CONECTOR PUENTE ALIMENTACION ALARMA S/TELESERVICIO;6
187;5102522-1;CONVERSOR DE 2 POLOS PASO DE 5,08 A 2,54;9
188;5102523-1;CONVERSOR DE 4 POLOS PASO DE 5,08 A 2,54;14
189;5102524-1;CONVERSOR DE 6 POLOS PASO DE 5,08 A 2,54;20
190;5102538-1;CABLE TRANSMISION DATOS RJ 45(FC);4
191;5102538-2;CABLE TRANSMISION DATOS RJ 45(FC);6
192;5102539-1;CABLE HC (FC);41
193;5102544-1;CABLE CONEXION ENCODER MOTOR OMRON L=0,6;75
194;5102561-1;CABLE CONEXION BUS CAN PPQ;15
195;5102580-1;CABLE CONEXION MOTORREDUCTORES 5.2m;40
196;5102603-1;ADAPTADOR CONECT.PASO 2,54 HEMB.5 POL.MACH.2 POLOS;9
197;5102604-1;ADAPTADOR CONECT.PASO 2,54 2 POL.PASO 5,08 3 POLOS;15
198;5102691-1;CABLE CONEXION PULSADORES DMG KAVA C/RETOR L=110;25
199;5102691-2;CABLE CONEXION PULSADORES DMG KAVA C/RETOR L=1500;28
200;5102707-1;CONEXION GUIAS A TIERRA L=6;13
201;5102707-2;CONEXION GUIAS A TIERRA L=12;24
202;5102708-1;CONEXION GUIAS A TIERRA L=10;19
203;5102708-2;CONEXION GUIAS A TIERRA L=10;20
204;5102711-1;CONVERSOR PARA J2 GATEWAY;47
205;5102716-1;CONVERSOR J2/J9/J11 TELESERVICIO 2005 L=300;38
206;5102749-1;CABLE CONEXION LSB SINTESIS VOZ 2005 PARA ARCA;22
207;5104001-1;CONDENSADOR ELEC.RADIAL 2200UF 100V (FH);19
208;5104003-1;CONDENSADOR ELEC.RADIAL 1000UF 100V (FH);23
209;5104005-1;CONDENSADOR ELEC.RADIAL 680UF 100V (FH);9
210;5104007-1;CONDEN. 15nF 630V CONT. TECH, Part Nº: 9500-0083;116
211;5104067-1;CONDENSADOR ELECTROLIT.AXIAL 25UF 200V.;2
212;5104095-1;CONDENSADOR DE ALTERNA 2UF 400/450V (FH);22
213;5104096-1;CONDENSADOR DE ALTERNA 1UF 400V (FC);10
214;5104111-1;MODULO RC 0,47UF/220 OHM.-250V AC.(FC);3
215;5105015-1;REGLETA DE CONEXION 12 BORNAS 6 MM2 COLOR NEGRO(FC;2
216;5105018-1;REGLETA DE CONEXION 12 BORNAS 10 mm2 COLOR NEGRO;5
217;5105020-1;ADAPTADOR DB9 HEMBRA-HEMBRA;9
218;5105049-1;CONECTOR MACHO PHOENIX REF.UMSTBVK 2,5/12 G-5,08;6
219;5105218-1;CONECTOR HEMBRA HZ PASO 5,08 2 5 POLOS (FH);2
220;5105219-1;CONECTOR HEMBRA HZ PASO 5,08 2 7 POLOS (FH);2
221;5105220-1;CONECTOR HEMBRA HZ PASO 5,08 2 3 POLOS (FH);1
222;5105224-1;CONECTOR HEMBRA HZ PASO 5,08 2 4 POLOS (FH);1
223;5105225-1;CONECTOR HEMBRA HZ PASO 5,08 2 POLOS (FH);1
224;5105300-1;CONECTOR HEMBRA MINI 4 POLOS (FC);1
225;5105301-1;CONECTOR HEMBRA VERTICAL 7 POLOS PASO 5,08 (FC);2
226;5105303-1;CONECTOR HEMBRA VERTICAL 2 POLOS PASO 5,08 (FC);1
227;5105304-1;CONECTOR HEMBRA VERTICAL 3 POLOS PASO 5,08 (FC);1
228;5105305-1;CONECTOR HEMBRA VERTICAL 4 POLOS PASO 5,08 (FC);1
229;5105305-1;CONECTOR HEMBRA VERTICAL 4 POLOS PASO 5,08 (FC);2
230;5105306-1;CONECTOR HEMBRA VERTICAL 5 POLOS PASO 5,08 (FC);2
231;5105307-1;CONECTOR HEMBRA VERTICAL 9 POLOS PASO 5,08 (FC);3
232;5105308-1;CONECTOR HEMBRA VERTICAL 2 POLOS PASO 7,62 (FC);1
233;5105309-1;CONECTOR HEMBRA VERTICAL 3 POLOS PASO 7,62 (FC);1
234;5105309-1;CONECTOR HEMBRA VERTICAL 3 POLOS PASO 7,62 (FC);2
235;5105310-1;CONECTOR HEMBRA VERTICAL 4 POLOS PASO 7,62 (FC);2
236;5105311-1;CONECTOR HEMBRA VERTICAL 5 POLOS PASO 7,62 (FC);2
237;5105312-1;CONECTOR HEMBRA VERTICAL 6 POLOS PASO 7,62 (FC);3
238;5105313-1;CONECTOR HEMBRA VERTICAL 7 POLOS PASO 7,62 (FC);4
239;5105313-1;CONECTOR HEMBRA VERTICAL 7 POLOS PASO 7,62 (FC);3
240;5105314-1;CONECTOR HEMBRA VERTICAL 11 POLOS PASO 7,62 (FC);2
241;5105316-1;CONECTOR HEMBRA VERTICAL 12 POLOS PASO 5,08 (FC);4
242;5105317-1;CONECTOR HEMBRA HORIZONTAL 15 POLOS PASO 5;9
243;5105318-1;CONECTOR HEMBRA VERTICAL 10 POLOS PASO 5,08 (FC);3
244;5105319-1;CONECTOR HEMBRA VERTICAL 6 POLOS PASO 5,08 (FC);2
245;5105320-1;CONECTOR HEMBRA DERIVACION 3 POLOS WAGO 730-103;8
246;5105321-1;CONECTOR MACHO DERIVACION 3 POLOS WAGO 730-113;8
247;5105322-1;CONECTOR HEMBRA CABLE PLANO 4 POLOS PASO 2,54 (FC);1
248;5105323-1;CONECTOR HEMBRA VERTICAL 8 POLOS PASO 5,08 (FC);3
249;5105326-1;CONECTOR HEMBRA HORIZONTAL 5 POLOS PASO 7,62 (FC);2
250;5105329-1;PIEZA CIEGA PHOENIX REF. MSTB-BL;0
251;5105334-1;CONECTOR HEMBRA VERTICAL 8 POLOS PASO 7,62 (FC);3
252;5105335-1;CONECTOR HEMBRA VERTICAL 9 POLOS PASO 7,62 (FC);4
253;5105342-7;CONECTOR 7 POLOS PHOENIX UMSTBVK 2,5/7-G-5,08 (FC);4
254;5105346-6;CONECTOR HEMBRA VERTICAL 6 POLOS PASO 3,81 (FC);2
255;5105346-2;CONECTOR HEMBRA VERTICAL 2 POLOS PASO 3,81 (FC);1
256;5105346-6;CONECTOR HEMBRA VERTICAL 6 POLOS PASO 3,81 (FC);3
257;5110054-1;FINAL DE CARRERA (FH);43
258;5110085-1;CAPTADOR ORONA DE POSICION;231
259;5110086-1;CAPTADOR ORONA OR4 2 CONTACTOS ABIERTOS;177
260;5110087-1;CAPTADOR ORONA DE POSICION ORS1;280
261;5110093-1;INTERRUPTOR FINAL DE CARRERA D4N OMRON;37
262;5110095-1;FINAL DE CARRERA OMRON D4N1A2H;48
263;5110102-1;INTERRUPTORES MAGNETICOS CO/CU CON CONECTOR;80
264;5110103-1;INTERRUPTORES MAGNETICOS CB/CS CON CONECTOR;60
265;5110105-1;IMAN PERMANENTE PLASTICO STEM REFERENCIA MP P150 015 006  15 CM;2
266;5110106-1;IMAN PERMANENTE PLASTICO STEM REFERENCIA MP D080 020 006  CU/CO;2
267;5110107-1;IMAN PERMANENTE PLASTICO 300X15X6 (FC) 30cm;5
268;5110108-1;SENSOR MAGNETICO STEM REF.C12G B3 BF ZA01 (CU);32
269;5110117-1;IMAN PERMANENTE PLASTICO STEM REFERENCIA MP P015 015 008V 1 CM;2
270;5110119-1;IMAN PERMANENTE PLASTICO 75X15X6 (FC)  7 CM;5
271;5110126-1;INTERRUPTORES MAGNETICOS CDA CON CONECTOR;35
272;5110127-1;INTERRUPTORES MAGNETICOS CDB CON CONECTOR;38
273;5110128-1;INTERRUPTORES MAGNETICOS CSB C;40
274;5110131-1;IMAN PERMANENTE PLASTICO STEM MF A020 004 010 (FC);1
275;5110132-1;IMAN PERMANENTE PLASTICO 120X15X6 (FC);1
276;5111016-1;CONJ. LED LIGHTING PANEL 200*220MM 14W 6000K;134
277;5111145-1;"""""""POTENCIOMETRO ILUMINACION DE CABINA """"""""EP""""""""(FC)""""""";30
278;5113041-1;LAMPARA USA PSB DE 24V;8
279;5113050-1;PILOTO SCHAEFFER MA 42 M VII, LED 30V BOMBERo GR. LASER;53
280;5113050-2;PIL SCH MA 42 M VII,LED 30 V.ANUL.EXTER.GR. LASER;51
281;5113052-1;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""1"""""""" BRAILLE""""""";49
282;5113052-10;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""10"""""""" BRAILLE""""""";49
283;5113052-11;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""11"""""""" BRAILLE""""""";49
284;5113052-12;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""12"""""""" BRAILLE""""""";49
285;5113052-13;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""13"""""""" BRAILLE""""""";49
286;5113052-14;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""14"""""""" BRAILLE""""""";49
287;5113052-15;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""15"""""""" BRAILLE""""""";49
288;5113052-16;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""16"""""""" BRAILLE""""""";49
289;5113052-17;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""17"""""""" BRAILLE""""""";49
290;5113052-18;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""18"""""""" BRAILLE""""""";49
291;5113052-19;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""19"""""""" BRAILLE""""""";49
292;5113052-2;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""2"""""""" BRAILLE""""""";49
293;5113052-20;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""20"""""""" BRAILLE""""""";49
294;5113052-21;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""21"""""""" BRAILLE""""""";53
295;5113052-22;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""22"""""""" BRAILLE""""""";53
296;5113052-23;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""23"""""""" BRAILLE""""""";53
297;5113052-24;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""24"""""""" BRAILLE""""""";53
298;5113052-25;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""25"""""""" BRAILLE""""""";53
299;5113052-26;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""26"""""""" BRAILLE""""""";53
300;5113052-27;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""27"""""""" BRAILLE""""""";53
301;5113052-28;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""28"""""""" BRAILLE""""""";53
302;5113052-29;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""29"""""""" BRAILLE""""""";53
303;5113052-3;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""3"""""""" BRAILLE""""""";49
304;5113052-30;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""30"""""""" BRAILLE""""""";53
305;5113052-31;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""31"""""""" BRAILLE""""""";53
306;5113052-32;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""32"""""""" BRAILLE""""""";53
307;5113052-33;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""33"""""""" BRAILLE""""""";53
308;5113052-34;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""34"""""""" BRAILLE""""""";53
309;5113052-35;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""35"""""""" BRAILLE""""""";53
310;5113052-36;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""36"""""""" BRAILLE""""""";53
311;5113052-37;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""37"""""""" BRAILLE""""""";53
312;5113052-38;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""38"""""""" BRAILLE""""""";53
313;5113052-39;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""39"""""""" BRAILLE""""""";53
314;5113052-4;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""4"""""""" BRAILLE""""""";49
315;5113052-40;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""0"""""""" BRAILLE""""""";49
316;5113052-41;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""-1"""""""" BRAILLE""""""";49
317;5113052-42;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""-2"""""""" BRAILLE""""""";49
318;5113052-43;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""-3"""""""" BRAILLE""""""";49
319;5113052-44;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""-4"""""""" BRAILLE""""""";49
320;5113052-5;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""5"""""""" BRAILLE""""""";49
321;5113052-50;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""B"""""""" BRAILLE""""""";49
322;5113052-51;"""""""PULSADOR SCHAEFER MT 42 MB VII LED 30V """"""""E"""""""" BRAILLE""""""";49
